X	Y	Z
438	500	16495
439	486	16469
453	513	16462
461	522	16464
447	492	16446
421	476	16455
428	488	16483
437	505	16490
436	509	16484
442	500	16482
426	493	16473
416	504	16471
425	501	16472
440	483	16486
450	489	16503
447	501	16494
448	504	16473
445	506	16464
429	510	16461
421	510	16463
427	507	16470
426	495	16473
421	493	16480
434	496	16489
443	486	16482
436	487	16469
437	509	16465
445	520	16469
454	499	16479
453	499	16489
440	505	16487
445	502	16474
453	513	16476
442	507	16491
440	497	16474
428	492	16452
413	496	16456
413	514	16466
415	506	16482
417	493	16493
407	498	16497
418	497	16503
430	490	16497
421	487	16487
430	486	16489
435	497	16480
430	512	16461
418	510	16451
414	507	16455
427	514	16475
429	509	16494
437	492	16491
445	499	16482
439	504	16485
439	501	16480
442	501	16481
437	506	16493
428	507	16489
426	495	16485
443	499	16499
462	503	16510
457	500	16505
454	501	16495
444	502	16468
431	498	16457
435	502	16455
430	503	16456
427	492	16456
437	494	16455
423	501	16478
421	504	16494
432	511	16494
420	493	16492
428	494	16485
445	516	16492
431	517	16487
410	514	16476
413	511	16476
429	507	16478
436	501	16492
441	499	16484
450	503	16482
446	492	16482
427	495	16482
420	503	16483
439	498	16473
457	502	16467
457	496	16468
448	497	16477
441	505	16480
435	502	16470
442	491	16463
435	492	16473
436	509	16475
450	510	16466
438	490	16478
429	484	16500
436	494	16500
432	505	16486
431	494	16478
432	488	16468
426	500	16459
433	505	16463
442	501	16478
446	483	16489
440	486	16469
441	503	16456
442	499	16469
447	486	16479
457	504	16473
448	511	16473
437	504	16483
439	501	16475
446	499	16476
449	506	16484
452	500	16475
447	496	16461
425	508	16465
419	520	16488
431	506	16503
423	498	16487
423	499	16482
439	490	16495
444	497	16486
432	498	16491
443	502	16492
452	511	16479
438	502	16470
436	500	16460
438	506	16460
443	492	16463
437	486	16453
439	498	16461
438	503	16488
441	493	16491
440	492	16487
430	504	16482
444	504	16471
459	498	16471
457	497	16467
449	504	16471
444	509	16490
443	502	16499
439	498	16486
439	498	16474
438	500	16463
423	501	16464
422	504	16479
439	495	16472
444	499	16454
437	507	16451
435	503	16453
437	507	16463
447	500	16476
455	502	16464
450	503	16457
427	496	16473
424	491	16493
437	500	16508
431	505	16494
426	497	16463
423	493	16464
422	485	16459
431	483	16444
437	491	16474
443	501	16508
452	503	16500
452	499	16479
448	501	16475
462	499	16471
464	496	16459
441	497	16457
433	492	16465
449	496	16480
458	497	16489
452	503	16502
460	509	16521
459	497	16516
456	488	16498
462	484	16480
452	487	16470
447	494	16470
423	500	16483
402	490	16496
417	496	16495
451	502	16487
456	501	16472
435	520	16455
432	500	16455
435	474	16469
435	482	16474
436	494	16483
436	493	16480
442	485	16473
466	485	16466
458	488	16462
435	485	16484
443	489	16511
451	494	16498
443	499	16478
438	502	16486
440	502	16481
443	511	16462
445	502	16460
436	484	16467
425	476	16466
428	480	16459
427	498	16471
424	501	16493
447	494	16486
474	494	16457
465	490	16447
449	483	16467
440	481	16485
423	484	16507
407	489	16512
410	493	16503
435	500	16494
450	509	16484
446	502	16489
452	495	16485
441	495	16481
421	506	16478
443	522	16456
444	505	16443
432	499	16452
428	514	16474
414	494	16484
413	481	16477
429	500	16476
443	507	16480
447	501	16479
446	508	16480
444	511	16477
429	498	16479
421	491	16481
435	504	16482
448	510	16493
456	504	16502
463	506	16489
450	507	16478
438	507	16473
442	495	16452
436	484	16456
437	496	16481
443	491	16502
438	490	16515
435	501	16515
443	501	16509
452	500	16490
455	502	16480
443	503	16494
453	506	16498
454	495	16480
441	484	16465
436	496	16462
426	502	16465
429	503	16478
425	514	16484
419	508	16469
425	501	16458
416	494	16457
436	491	16470
446	495	16483
427	496	16488
441	499	16506
464	493	16511
452	502	16486
435	515	16468
425	505	16468
434	500	16466
438	498	16454
429	500	16446
456	494	16458
440	487	16478
423	491	16491
444	493	16489
454	494	16494
452	504	16487
442	509	16464
442	502	16463
447	507	16456
447	505	16448
451	502	16461
452	498	16481
442	491	16490
423	491	16484
419	495	16489
449	494	16491
468	499	16471
462	489	16476
448	471	16499
446	478	16489
448	489	16476
449	502	16470
446	512	16461
428	510	16455
434	507	16453
458	488	16466
459	483	16475
443	495	16477
448	495	16482
453	512	16486
433	513	16473
423	499	16449
432	504	16444
438	503	16464
447	495	16491
457	489	16500
441	499	16510
445	508	16507
463	499	16485
446	485	16464
434	482	16439
432	479	16441
426	490	16447
427	510	16455
437	494	16477
449	484	16493
444	486	16501
442	481	16517
457	500	16527
461	504	16515
451	488	16511
437	488	16492
436	496	16478
426	503	16459
417	502	16436
425	496	16455
427	490	16478
431	496	16501
434	491	16520
431	490	16520
432	485	16504
421	472	16480
422	485	16458
433	498	16437
421	496	16461
425	496	16498
427	499	16498
431	493	16513
445	484	16527
441	480	16522
435	487	16497
442	497	16470
455	512	16443
446	511	16435
440	500	16458
449	501	16463
427	508	16461
420	503	16472
424	499	16484
419	512	16480
419	505	16474
426	508	16474
438	497	16478
427	474	16470
419	491	16464
424	510	16478
426	497	16484
427	497	16475
440	514	16479
451	510	16492
428	505	16479
418	499	16455
446	497	16460
449	498	16484
428	489	16495
425	490	16488
443	489	16482
435	493	16486
426	500	16489
438	487	16479
436	483	16480
431	496	16490
435	493	16476
427	488	16475
432	499	16469
443	495	16465
445	485	16467
433	492	16467
421	494	16480
440	485	16476
449	478	16494
454	484	16493
456	489	16475
447	485	16478
458	488	16462
463	488	16467
447	494	16485
435	505	16483
438	511	16484
443	504	16501
437	498	16510
440	501	16500
437	493	16491
432	491	16472
444	496	16451
436	492	16438
421	493	16448
420	505	16457
422	493	16454
439	488	16471
437	499	16495
434	506	16500
440	492	16482
426	472	16482
427	477	16493
439	490	16482
435	492	16484
431	495	16502
440	497	16497
455	503	16502
448	506	16498
434	485	16490
440	491	16508
445	497	16515
440	492	16514
447	501	16501
450	497	16483
427	481	16480
417	475	16467
434	498	16456
439	516	16486
446	504	16485
454	491	16460
446	481	16460
448	489	16456
437	495	16469
431	492	16475
427	502	16461
436	511	16471
460	500	16472
452	497	16474
427	499	16494
411	477	16476
429	485	16454
439	509	16464
433	506	16480
434	502	16479
423	502	16489
423	491	16499
441	494	16490
441	499	16485
426	505	16480
431	513	16475
441	510	16478
433	499	16496
427	489	16513
433	494	16501
432	502	16479
430	494	16491
431	484	16496
434	494	16485
450	495	16482
450	492	16473
437	506	16460
436	508	16458
436	497	16463
445	496	16476
433	486	16485
413	484	16485
426	502	16475
429	517	16453
419	506	16447
422	505	16457
421	518	16466
426	506	16483
448	494	16490
453	493	16489
447	497	16480
439	500	16480
415	501	16500
421	502	16502
445	502	16507
442	504	16524
438	496	16506
448	496	16472
447	499	16465
444	481	16477
447	479	16480
444	492	16489
434	494	16491
423	496	16482
422	503	16476
431	504	16476
441	498	16483
441	497	16473
433	507	16471
429	492	16493
442	484	16499
446	498	16495
444	497	16492
429	487	16476
427	481	16470
452	491	16465
446	504	16454
431	514	16446
427	518	16462
420	518	16477
426	501	16490
422	484	16484
415	490	16476
422	486	16494
415	474	16499
429	476	16495
456	491	16493
452	502	16490
451	495	16480
450	489	16459
436	482	16456
444	482	16463
445	495	16471
426	499	16494
404	495	16508
409	492	16506
426	497	16495
420	505	16495
421	509	16468
433	508	16439
446	498	16471
456	489	16507
447	497	16504
432	502	16506
426	505	16495
427	497	16469
420	479	16468
420	479	16453
428	485	16452
436	488	16471
429	496	16472
420	512	16458
435	514	16451
437	504	16469
429	499	16480
439	499	16478
445	500	16496
451	500	16501
458	506	16496
461	503	16494
457	502	16489
436	503	16476
425	483	16464
418	489	16457
417	501	16461
422	493	16476
422	498	16471
428	499	16475
426	502	16488
441	486	16493
461	483	16489
452	490	16484
447	487	16488
446	492	16502
444	494	16497
451	504	16483
439	514	16476
429	519	16476
434	506	16480
426	493	16487
423	486	16506
420	481	16500
426	485	16470
455	482	16465
449	494	16458
428	512	16448
422	511	16464
426	502	16492
432	490	16504
428	478	16492
439	474	16486
432	479	16484
431	478	16473
431	487	16458
409	513	16458
417	498	16472
432	477	16483
437	481	16495
432	467	16502
411	460	16502
410	488	16492
421	500	16491
420	494	16481
423	495	16464
426	499	16462
434	501	16470
451	497	16471
450	502	16468
432	495	16469
414	489	16470
408	498	16485
418	491	16467
434	490	16461
434	485	16477
433	473	16465
440	479	16454
448	488	16466
454	503	16486
448	503	16493
444	496	16488
455	513	16496
448	510	16503
450	510	16491
447	507	16473
435	499	16462
457	505	16468
452	492	16471
427	481	16465
435	474	16482
439	484	16505
422	497	16493
424	499	16473
435	495	16480
440	495	16471
444	500	16447
438	499	16466
432	500	16489
431	492	16496
444	485	16492
435	499	16475
426	512	16478
425	500	16473
417	486	16465
438	507	16478
452	506	16488
443	487	16481
422	487	16481
419	487	16473
429	500	16460
438	513	16460
419	502	16467
416	497	16484
444	501	16481
452	496	16466
441	496	16475
431	488	16480
438	487	16479
444	491	16474
438	493	16476
433	499	16494
427	509	16498
437	502	16491
459	478	16491
457	478	16507
437	498	16518
435	505	16503
441	495	16479
434	501	16471
436	509	16479
446	490	16492
440	479	16504
431	501	16497
434	513	16480
431	502	16485
436	490	16487
443	491	16465
431	488	16463
442	493	16479
439	492	16479
416	480	16479
437	480	16474
438	479	16477
419	477	16490
435	494	16484
445	501	16458
447	488	16443
438	488	16447
431	509	16458
435	516	16474
434	500	16484
432	496	16484
435	502	16477
437	489	16475
425	483	16467
412	494	16457
409	501	16470
424	507	16492
438	506	16504
446	500	16507
451	499	16492
454	503	16469
445	495	16455
437	497	16442
433	492	16456
439	476	16481
440	483	16490
440	484	16489
445	487	16473
433	486	16469
436	471	16466
438	475	16479
429	488	16503
442	499	16510
445	487	16522
429	482	16518
434	484	16498
441	473	16483
443	468	16483
448	477	16492
451	485	16494
441	493	16478
432	505	16465
427	498	16477
431	499	16485
435	514	16486
427	506	16478
428	494	16479
448	487	16482
466	486	16482
443	492	16476
432	481	16458
449	481	16467
445	496	16477
419	489	16469
418	491	16468
440	500	16488
458	490	16490
455	495	16479
434	498	16487
433	490	16481
440	494	16464
452	502	16468
469	499	16473
459	495	16466
428	492	16465
424	498	16467
447	501	16482
465	502	16491
441	500	16482
424	487	16475
447	479	16482
450	482	16485
452	478	16475
451	481	16461
441	488	16461
440	500	16468
429	510	16480
413	500	16503
415	491	16503
433	505	16494
443	510	16477
438	500	16446
420	500	16434
422	498	16439
428	500	16450
417	495	16482
432	496	16504
455	501	16517
453	497	16518
448	492	16496
457	490	16477
440	497	16454
413	498	16443
425	486	16464
443	489	16492
424	504	16502
426	506	16500
444	488	16494
441	486	16480
435	494	16475
449	487	16490
467	485	16502
458	498	16494
444	505	16483
434	500	16466
448	499	16449
451	493	16447
449	486	16459
446	482	16467
430	477	16472
440	489	16482
455	506	16479
448	497	16472
441	496	16469
441	507	16463
440	500	16467
435	483	16463
430	471	16459
436	479	16476
433	490	16480
435	494	16483
440	500	16482
439	496	16499
436	495	16518
436	486	16494
451	481	16471
438	487	16459
415	489	16448
431	500	16452
444	515	16475
456	508	16483
460	489	16483
448	484	16491
448	489	16484
453	497	16489
451	496	16485
438	498	16466
432	503	16462
433	503	16461
433	494	16464
443	498	16483
447	505	16513
433	495	16496
440	486	16467
442	480	16466
437	476	16475
448	480	16482
441	476	16476
430	485	16494
437	500	16489
436	496	16473
427	499	16481
432	498	16481
424	497	16477
423	495	16482
427	491	16494
426	496	16483
437	494	16463
436	485	16460
416	486	16467
410	493	16471
425	499	16479
440	505	16478
428	508	16466
422	502	16468
439	491	16466
453	488	16461
451	496	16456
444	506	16457
438	508	16472
433	508	16492
438	504	16498
427	500	16479
429	494	16461
444	491	16455
451	500	16450
451	502	16458
442	498	16480
447	505	16493
446	520	16490
425	512	16485
434	482	16485
432	494	16489
421	505	16494
440	493	16489
453	505	16469
443	502	16462
442	488	16458
444	490	16451
453	502	16469
472	503	16490
453	506	16503
437	511	16509
437	509	16504
437	508	16494
433	499	16480
426	496	16466
449	507	16457
461	507	16455
436	493	16477
433	482	16479
440	494	16483
444	498	16508
446	489	16500
441	485	16487
448	487	16493
438	502	16479
418	514	16455
424	499	16453
431	476	16453
436	481	16459
438	481	16481
429	473	16491
440	480	16469
456	490	16454
448	494	16458
442	503	16462
442	511	16471
437	504	16475
427	491	16476
434	478	16483
444	477	16478
438	484	16484
432	492	16476
442	489	16461
453	500	16475
441	513	16482
439	510	16455
436	516	16456
440	502	16479
453	481	16484
431	484	16493
437	488	16482
461	477	16477
450	484	16495
434	496	16500
433	504	16484
448	505	16482
454	488	16485
450	485	16479
449	482	16474
440	485	16454
434	495	16446
436	490	16452
430	490	16466
433	495	16499
457	496	16512
456	500	16498
437	507	16491
435	511	16481
432	497	16460
432	494	16462
438	494	16466
435	492	16471
433	503	16483
434	499	16497
429	495	16514
431	502	16519
439	505	16492
454	500	16478
463	492	16473
451	499	16471
433	493	16484
422	488	16480
431	501	16493
431	499	16492
433	501	16475
431	485	16486
440	479	16487
454	492	16476
443	492	16483
433	491	16479
420	492	16463
424	496	16461
432	501	16478
433	500	16475
432	498	16467
424	499	16477
432	493	16474
442	492	16462
444	490	16449
426	502	16448
403	504	16453
426	491	16461
436	481	16479
430	474	16501
446	489	16515
434	489	16512
419	468	16503
434	476	16493
438	494	16477
436	489	16468
436	506	16471
420	506	16473
419	494	16464
442	494	16474
441	493	16492
425	501	16497
431	514	16496
437	518	16479
424	506	16457
430	507	16448
448	496	16446
441	490	16451
442	496	16460
448	494	16472
444	485	16475
440	481	16463
433	494	16470
436	489	16472
441	482	16468
435	491	16476
430	502	16486
439	493	16488
442	501	16476
439	504	16472
432	484	16466
421	485	16450
416	492	16449
424	497	16472
444	494	16490
454	510	16487
440	515	16480
444	502	16482
461	497	16489
453	490	16491
452	482	16482
452	482	16487
434	493	16487
424	504	16473
421	505	16478
417	491	16468
429	497	16464
441	505	16473
448	494	16466
449	494	16472
445	500	16486
437	493	16482
434	485	16477
414	492	16470
393	491	16453
404	480	16458
420	478	16477
